instance,count,sign,main_group,layer,frac_fb,frac_lat,frac_ff,VIC,cluster,size,r2
LoVC20_L,1,-1,CB input,3.1831479103844424,0.24504197590947804,0.49738410998904975,0.2575739141014722,0.023025846,,104.89119819579042,-1.0
LoVC21_L,1,-1,CB input,2.789920452032397,0.9455172413793104,0.05296551724137931,0.001517241379310345,0.04281887,,55.18019623379676,-0.12755067931372222
LoVC22_L,2,0,CB input,2.7369998512817166,0.24896892880487106,0.6196554751118108,0.13137559608331806,0.06680499,,117.84332574011165,-1.0
LoVC23_L,2,-1,CB input,1.9871964518819465,0.008605899900563475,0.569850845210474,0.42154325488896255,0.18324268,,154.23762485526626,-0.3144997489237571
LoVC24_R,3,-1,CB input,2.8301432121570613,0.8901014199308495,0.10691647915185007,0.00298210091730046,0.04394442,,20.19415492752052,0.022623320967435134
LoVC25_L,11,1,CB input,3.859303120892934,0.5918246662784374,0.40153983263248316,0.006635501089079285,0.0019811643,,55.51917556961016,0.03921227085807155
LoVC26_R,3,-1,CB input,3.7441048224617504,0.015357936176808562,0.645858438473856,0.33878362534933537,0.002777145,,61.60625027910378,-0.010307960821301254
LoVC27_L,5,-1,CB input,2.91099173657289,0.5360374706381142,0.4504502706424029,0.013512258719482953,0.058215637,,28.002944857839914,0.0612189235034758
LoVC28_L,2,-1,CB input,2.7554104448015337,0.1879659305229891,0.8106816762666939,0.0013523932103170558,0.06602423,,26.571679703558296,-0.05591749290071718
LoVC29_L,2,-1,CB input,2.7916942300229994,0.2838244485607464,0.7151090378081071,0.0010665136311465164,0.07729326,,28.18298797545457,0.04421321410013013
LoVC2_R,1,-1,CB input,3.1597148923383687,0.5397175639894086,0.2500735510444248,0.21020888496616652,0.023537219,,56.86721248459272,-1.0
LoVC3_L,1,-1,CB input,3.539042462929061,0.7578616352201258,0.23677395486496486,0.005364409914909361,0.006182581,,68.2772348790731,-0.7271723011301914
LoVC4_R,1,-1,CB input,3.614240962005862,0.7299690128375388,0.2625055334218681,0.007525453740593183,0.0057917577,,75.2892763968606,-1.0
LoVC5_R,1,-1,CB input,3.224211706140296,0.539904441691736,0.3907273049017873,0.06936825340647673,0.017718045,,64.4653801240504,-0.8788941846941059
LoVC6_R,1,-1,CB input,3.2085539444604763,0.6193362630701621,0.2559478708895287,0.12471586604030914,0.026963064,,66.06317636312416,-1.0
LoVC7_R,1,-1,CB input,3.0978185842911508,0.6507455449145351,0.2617286943871985,0.08752576069826647,0.028661013,,84.86083348829358,-1.0
LoVC9_L,1,-1,CB input,3.1509399491596413,0.5603810591202018,0.21434575511347717,0.2252731857663211,0.022478782,,56.01171371690108,-1.0
LoVCLo1_R,1,1,CB input,3.285507964738895,0.4540636042402827,0.07950530035335689,0.4664310954063604,0.01601883,,119.39356606568941,-1.0
LoVCLo2_R,1,0,CB input,2.839210431201819,0.12163276525563496,0.3772677295217152,0.5010995052226498,0.027895113,,109.34425984161142,-0.9547551009990547
LoVCLo3_R,1,0,CB input,2.9406824563516816,0.19501133786848074,0.20181405895691612,0.6031746031746033,0.023560561,,131.49057505395803,-1.0
LoVP100_R,1,1,OL output,2.4606439460226937,0.0,0.18392023759015697,0.816079762409843,0.06676173,7.0,145.1458659961968,-1.0
LoVP101_R,1,1,OL output,2.663047745790095,0.010633772862611655,0.3167800935772012,0.6725861335601871,0.09979462,8.0,120.55998179555726,-1.0
LoVP102_R,1,1,OL output,2.451854755160344,0.0011474975726012888,0.03610203901491747,0.9627504634124813,0.15114431,8.0,126.80517074053002,-1.0
LoVP103_R,1,1,OL output,2.631486899667241,0.0013404825737265416,0.09919571045576407,0.8994638069705094,0.084603876,6.0,58.771031209067495,-0.8156702743336028
LoVP105_R,1,1,OL output,2.4097321207068005,0.004335260115606936,0.13583815028901733,0.8598265895953757,0.06525654,7.0,27.307702674068175,-0.25286902036077064
LoVP106_R,1,1,OL output,2.3930341606797687,0.0022975301550832855,0.20620333141872488,0.7914991384261918,0.10022434,6.0,71.5640067303763,-1.0
LoVP107_R,1,1,OL output,2.643286773870753,0.01752136752136752,0.30641025641025643,0.6760683760683761,0.08674411,6.0,101.93229452518965,-1.0
LoVP108_R,2,-1,OL output,2.685975300866385,0.27368112159409064,0.6039110221407382,0.12240785626517112,0.15892285,8.0,89.06090654229357,-0.9330810112932266
LoVP10_R,9,1,OL output,2.687442537815444,0.005190143148922625,0.4719405122945384,0.5228693445565389,0.07783902,7.0,19.126662971584004,0.10880909309637166
LoVP11_R,4,1,OL output,2.808054170508458,0.07571266096313119,0.41867468425167126,0.5056126547851975,0.10232286,6.0,23.51141140230124,0.04488007425525742
LoVP12_R,19,1,OL output,2.0955700647326294,0.005865102639296187,0.12569521690767518,0.8684396804530286,0.090819076,7.0,7.8833900975381965,0.42209035253101135
LoVP13_R,24,-1,OL output,2.6372636897843185,0.05092387303913058,0.9164972703933666,0.032578856567502805,0.10528314,6.0,11.78815958846261,0.7985064490118863
LoVP14_R,9,1,OL output,2.74222992112672,0.366958284690294,0.5597816948435976,0.07326002046610841,0.101906024,8.0,33.154771979115,-0.3816139316391898
LoVP16_R,5,1,OL output,2.5569447561983587,0.007424270739538914,0.1479757394539678,0.8445999898064933,0.06551445,6.0,57.161264004040135,-0.18126602432187355
LoVP17_R,4,1,OL output,2.7811810202902665,0.02011697629604685,0.5757717769545939,0.4041112467493593,0.06023099,6.0,38.78334441083565,-0.06237529630006988
LoVP18_R,6,1,OL output,2.1930688513502403,0.002512413553470751,0.13076095362991358,0.8667266328166157,0.09971079,8.0,9.069751673299974,0.14590112507412323
LoVP19_R,1,1,OL output,2.40313214028227,0.0038910505836575876,0.13618677042801558,0.8599221789883269,0.037149258,7.0,31.657302537367542,-0.10462178933447985
